https://www.farpost.ru/vladivostok/realty/sell_flats/dvushka-s-novym-remontom-87663319.html;5 350 000₽;13718;64, 71 микрорайоны, частное лицо, 45,0 кв. м.;2-комнатная; улица Адмирала Кузнецова; 48
https://www.farpost.ru/vladivostok/realty/sell_flats/shikarnaja-treshka-s-panoramnym-vidom-88869067.html;8 800 000₽;3387;Чуркин, частное лицо, 80,0 кв. м.;3-комнатная; улица Кипарисовая; 2а
https://www.farpost.ru/vladivostok/realty/sell_flats/1-komnatnaja-brjanskaja-18-89195227.html;5 700 000₽;169;Чуркин, частное лицо, 34,9 кв. м.;1-комнатная; улица Брянская; 18а
https://www.farpost.ru/vladivostok/realty/sell_flats/prodaetsja-3-komnatnaja-kvartira-122-kv-m-v-centre-vladivostoka-48460078.html;17 600 000₽;5506;Центр, частное лицо, 122,0 кв. м.;3-комнатная; улица Прапорщика Комарова; 45
https://www.farpost.ru/vladivostok/realty/sell_flats/prodaju-zamechatelnuju-kvartiru-v-centre-goroda-81040552.html;9 500 000₽;6198;Центр, агентство, 87,0 кв. м.;2-комнатная; улица Абрекская; 4
https://www.farpost.ru/vladivostok/realty/sell_flats/2-h-komnatnaja-kvartira-na-sadgorode-88193996.html;3 000 000₽;2485;Садгород, агентство, 40,8 кв. м.;2-комнатная; улица Грязелечебница; 20
https://www.farpost.ru/vladivostok/realty/sell_flats/prodaem-2-komnatnuju-kvartiru-v-horoshem-dome-fastovskaja14-88474377.html;9 000 000₽;815;Чуркин, агентство, 53,7 кв. м.;2-комнатная; улица Фастовская; 14
https://www.farpost.ru/vladivostok/realty/sell_flats/prodam-kvartiru-88824746.html;12 000 000₽;2305;64, 71 микрорайоны, частное лицо, 78,9 кв. м.;3-комнатная; улица Черняховского; 9
https://www.farpost.ru/vladivostok/realty/sell_flats/prodaju-4-komnatnuju-na-kotelnikova-22-88800680.html;7 090 000₽;1591;Баляева, частное лицо, 61,3 кв. м.;4-комнатная; улица Котельникова; 22
https://www.farpost.ru/vladivostok/realty/sell_flats/otlichnaja-kvartira-dlja-bolshoj-i-druzhnoj-semji-vo-vladivostoke-88933771.html;11 800 000₽;810;Некрасовская, проверенное агентство, 103,0 кв. м.;3-комнатная; улица Военное шоссе; 28
https://www.farpost.ru/vladivostok/realty/sell_flats/prodaetsja-kvartira-89106935.html;11 990 000₽;221;64, 71 микрорайоны, проверенное агентство, 79,4 кв. м.;3-комнатная; улица Черняховского; 9
https://www.farpost.ru/vladivostok/realty/sell_flats/prodaetsja-gostinka-89046773.html;3 200 000₽;394;Чуркин, проверенное агентство, 17,3 кв. м.;Гостинка; улица Окатовая; 20
https://www.farpost.ru/vladivostok/realty/sell_flats/juzhnaja-kvartira-pod-vash-remont-gotova-k-sdelke-88719240.html;4 300 000₽;1252;Снеговая падь, проверенное агентство, 35,8 кв. м.;1-комнатная; улица Адмирала Смирнова; 16
https://www.farpost.ru/vladivostok/realty/sell_flats/3-komnatnaja-kvartira-ul-pushkinskaja-52-85546197.html;6 790 000₽;6064;Центр, проверенное агентство, 56,3 кв. м.;3-комнатная; улица Пушкинская; 52
https://www.farpost.ru/vladivostok/realty/sell_flats/3-kom-kv-s-predchistovoj-otdelkoj-v-novom-zhilom-komplexe-oazis-88424446.html;6 456 280₽;1485;Вторая речка, застройщик, 48,1 кв. м.;3-комнатная; улица Русская; 97
https://www.farpost.ru/vladivostok/realty/sell_flats/4-komnatnaja-kvartira-ot-zastrojshika-s-gotovym-remontom-v-zhk-oazis-87970697.html;8 331 791₽;1727;Вторая речка, застройщик, 53,9 кв. м.;4-комнатная; улица Русская; 97
https://www.farpost.ru/vladivostok/realty/sell_flats/prodaetsja-1-komnatnaja-kvartira-po-ul-griboedova-pos-trudovoe-22-76322438.html;2 900 000₽;21055;Трудовое, проверенное агентство, 30,8 кв. м.;1-комнатная; улица Грибоедова (пос. Трудовое); 22
https://www.farpost.ru/vladivostok/realty/sell_flats/kvartira-s-prekrasnym-vidom-na-amurskij-zaliv-i-prijatnoj-energetikoj-79328210.html;27 000 000₽;4995;Центр, проверенное агентство, 130,1 кв. м.;3-комнатная; улица Морская 1-я; 20
https://www.farpost.ru/vladivostok/realty/sell_flats/otlichnaja-kvartira-s-horoshim-remontom-85428585.html;11 990 000₽;4147;Вторая речка, проверенное агентство, 86,5 кв. м.;2-комнатная; улица Кирова; 25а
https://www.farpost.ru/vladivostok/realty/sell_flats/ujutnaja-kvartira-v-otlichnom-rajone-83686054.html;6 300 000₽;7565;Некрасовская, проверенное агентство, 51,3 кв. м.;2-комнатная; улица Толстого; 25
https://www.farpost.ru/vladivostok/realty/sell_flats/prodaetsja-2-h-komnatnaja-kartira-vo-vladivostoke-88424906.html;5 600 000₽;484;Трудовая, частное лицо, 44,0 кв. м.;2-комнатная; улица Промышленная 1-я; 3
https://www.farpost.ru/vladivostok/realty/sell_flats/teplaja-ujutnaja-1-komn-kvartira-s-balkonom-v-prodazhe-85703924.html;4 590 000₽;997;Вторая речка, проверенное агентство, 30,7 кв. м.;1-комнатная; улица Магнитогорская; 18
